time,dT,T
15,0.019 ,18.299 
30,0.044 ,18.324 
45,0.051 ,18.331 
60,0.053 ,18.333 
75,0.056 ,18.336 
90,0.057 ,18.337 
105,0.059 ,18.339 
120,0.060 ,18.340 
135,0.061 ,18.341 
150,0.062 ,18.342 
165,0.063 ,18.343 
180,0.064 ,18.344 
195,0.066 ,18.346 
210,0.094 ,18.374 
225,0.265 ,18.545 
240,0.570 ,18.850 
255,0.829 ,19.109 
270,1.092 ,19.372 
285,1.283 ,19.563 
300,1.433 ,19.713 
315,1.527 ,19.807 
330,1.600 ,19.880 
345,1.653 ,19.933 
360,1.697 ,19.977 
375,1.732 ,20.012 
390,1.765 ,20.045 
405,1.791 ,20.071 
420,1.815 ,20.095 
435,1.834 ,20.114 
450,1.852 ,20.132 
465,1.868 ,20.148 
480,1.881 ,20.161 
495,1.893 ,20.173 
510,1.904 ,20.184 
525,1.914 ,20.194 
540,1.922 ,20.202 
555,1.930 ,20.210 
570,1.937 ,20.217 
585,1.943 ,20.223 
600,1.948 ,20.228 
615,1.955 ,20.235 
630,1.958 ,20.238 
645,1.962 ,20.242 
660,1.966 ,20.246 
675,1.969 ,20.249 
690,1.972 ,20.252 
705,1.974 ,20.254 
720,1.976 ,20.256 
735,1.978 ,20.258 
750,1.980 ,20.260 
765,1.983 ,20.263 
780,1.984 ,20.264 
